,X,REGION,LAT,LONG,NAMA_UNIV,KODE,PROGRAM_STUDI,DAYA_TAMPUNG_2020,PEMINAT_2019,JENIS_PORTOFOLIO,nama_prodi,rumpun,DAYA_TAMPUNG_2019,jumlah_peminat_2018,jumlah_peminat_2017,daya_tampung_2018,daya_tampung_2017
867,867,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212034,ILMU SEJARAH,24,357,Tidak Ada,ILMU SEJARAH,Soshum,25,732,531,39,24
868,868,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212042,ILMU PSIKOLOGI,54,1147,Tidak Ada,ILMU PSIKOLOGI,Soshum,81,4271,3843,141,140
869,869,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212057,ILMU KOMUNIKASI,24,871,Tidak Ada,ILMU KOMUNIKASI,Soshum,40,3698,3800,71,70
870,870,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212065,ILMU POLITIK,27,451,Tidak Ada,ILMU POLITIK,Soshum,46,1043,1145,35,35
871,871,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212073,ILMU ADMINISTRASI NEGARA,21,380,Tidak Ada,ILMU ADMINISTRASI NEGARA,Soshum,28,1667,1703,49,49
872,872,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212081,KRIMINOLOGI,27,718,Tidak Ada,KRIMINOLOGI,Soshum,41,2514,1910,63,42
873,873,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212096,SOSIOLOGI,24,520,Tidak Ada,SOSIOLOGI,Soshum,36,1242,1180,56,42
874,874,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212107,ILMU KESEJAHTERAAN SOSIAL,24,491,Tidak Ada,ILMU KESEJAHTERAAN SOSIAL,Soshum,38,1639,1658,56,56
875,875,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212115,ANTROPOLOGI SOSIAL,18,511,Tidak Ada,ANTROPOLOGI SOSIAL,Soshum,24,981,1236,56,58
876,876,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212123,ILMU EKONOMI,36,474,Tidak Ada,ILMU EKONOMI,Soshum,40,1513,1613,56,63
877,877,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212131,ILMU ADMINISTRASI NIAGA,29,420,Tidak Ada,ILMU ADMINISTRASI NIAGA,Soshum,28,1486,1423,49,49
878,878,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212146,ILMU ADMINISTRASI FISKAL,20,317,Tidak Ada,ILMU ADMINISTRASI FISKAL,Soshum,28,1717,1369,56,49
879,879,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212154,MANAJEMEN,54,1131,Tidak Ada,MANAJEMEN,Soshum,84,3965,4159,138,140
880,880,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212162,AKUNTANSI,62,763,Tidak Ada,AKUNTANSI,Soshum,79,3265,3563,136,140
881,881,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212177,ILMU HUBUNGAN INTERNASIONAL,18,597,Tidak Ada,ILMU HUBUNGAN INTERNASIONAL,Soshum,22,2766,2588,42,42
882,882,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212185,ILMU PERPUSTAKAAN,17,418,Tidak Ada,ILMU PERPUSTAKAAN,Soshum,25,1224,1313,28,24
883,883,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212193,ILMU FILSAFAT,24,451,Tidak Ada,ILMU FILSAFAT,Soshum,28,587,572,40,24
884,884,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212204,SASTRA INDONESIA,23,292,Tidak Ada,SASTRA INDONESIA,Soshum,24,1019,908,38,24
885,885,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212212,SASTRA DAERAH UNTUK SASTRA JAWA,19,314,Tidak Ada,SASTRA DAERAH UNTUK SASTRA JAWA,Soshum,22,330,301,39,24
886,886,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212227,SASTRA JEPANG,14,362,Tidak Ada,SASTRA JEPANG,Soshum,20,1036,1015,28,24
887,887,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212235,SASTRA CINA,14,444,Tidak Ada,SASTRA CINA,Soshum,21,447,438,30,24
888,888,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212243,SASTRA ARAB,14,430,Tidak Ada,SASTRA ARAB,Soshum,21,1004,855,28,24
889,889,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212251,SASTRA PERANCIS,11,221,Tidak Ada,SASTRA PERANCIS,Soshum,15,590,594,28,24
890,890,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212266,SASTRA INGGRIS,15,442,Tidak Ada,SASTRA INGGRIS,Soshum,20,1911,1859,28,24
891,891,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212274,SASTRA JERMAN,15,297,Tidak Ada,SASTRA JERMAN,Soshum,20,672,642,29,24
892,892,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212282,SASTRA BELANDA,14,469,Tidak Ada,SASTRA BELANDA,Soshum,20,524,645,28,24
893,893,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212297,SASTRA RUSIA,19,254,Tidak Ada,SASTRA RUSIA,Soshum,21,646,365,38,24
894,894,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212301,BAHASA DAN KEBUDAYAAN KOREA,11,477,Tidak Ada,BAHASA DAN KEBUDAYAAN KOREA,Soshum,15,1586,1370,28,24
895,895,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212316,ILMU EKONOMI ISLAM,15,297,Tidak Ada,ILMU EKONOMI ISLAM,Soshum,16,873,1112,28,31
896,896,JAWA,-6.3627638,106.8248595,UNIVERSITAS INDONESIA,3212324,BISNIS ISLAM,15,371,Tidak Ada,BISNIS ISLAM,Soshum,18,1059,1272,28,31
897,897,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221017,SOSIAL EKONOMI PERTANIAN / AGRIBISNIS,47,810,Tidak Ada,SOSIAL EKONOMI PERTANIAN / AGRIBISNIS,Saintek,56,904,1049,70,52
898,898,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221025,TEKNIK INFORMATIKA,45,773,Tidak Ada,TEKNIK INFORMATIKA,Saintek,58,1786,1796,53,35
899,899,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221033,SISTEM INFORMASI,45,853,Tidak Ada,SISTEM INFORMASI,Saintek,54,1302,1233,57,42
900,900,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221041,MATEMATIKA,33,391,Tidak Ada,MATEMATIKA,Saintek,33,516,464,44,28
901,901,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221056,BIOLOGI,26,654,Tidak Ada,BIOLOGI,Saintek,49,772,666,55,35
902,902,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221064,KIMIA,52,589,Tidak Ada,KIMIA,Saintek,48,474,404,54,35
903,903,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221072,FISIKA,38,633,Tidak Ada,FISIKA,Saintek,43,295,342,60,35
904,904,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221087,KESEHATAN MASYARAKAT,52,938,Tidak Ada,KESEHATAN MASYARAKAT,Saintek,50,1715,1462,48,42
905,905,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221095,FARMASI,49,1021,Tidak Ada,FARMASI,Saintek,46,1885,1770,44,38
906,906,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221106,ILMU KEPERAWATAN,50,673,Tidak Ada,ILMU KEPERAWATAN,Saintek,40,1097,1025,39,35
907,907,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221114,PENDIDIKAN DOKTER,45,923,Tidak Ada,PENDIDIKAN DOKTER,Saintek,43,2152,1906,42,35
908,908,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221122,PENDIDIKAN MATEMATIKA,45,467,Tidak Ada,PENDIDIKAN MATEMATIKA,Saintek,41,567,557,42,28
909,909,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221145,PENDIDIKAN KIMIA,36,352,Tidak Ada,PENDIDIKAN KIMIA,Saintek,42,315,241,47,24
910,910,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3221161,TEKNIK PERTAMBANGAN,31,214,Tidak Ada,TEKNIK PERTAMBANGAN,Saintek,19,439,575,19,17
911,911,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222021,AKUNTANSI,67,824,Tidak Ada,AKUNTANSI,Soshum,71,1591,1651,52,42
912,912,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222075,ILMU EKONOMI DAN STUDI PEMBANGUNAN,56,631,Tidak Ada,ILMU EKONOMI DAN STUDI PEMBANGUNAN,Soshum,33,1239,1360,51,42
913,913,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222083,ILMU HUBUNGAN INTERNASIONAL,51,565,Tidak Ada,ILMU HUBUNGAN INTERNASIONAL,Soshum,49,1424,1471,44,42
914,914,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222102,ILMU HUKUM,56,719,Tidak Ada,ILMU HUKUM,Soshum,50,1207,1196,47,42
915,915,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222117,ILMU PERPUSTAKAAN,64,1079,Tidak Ada,ILMU PERPUSTAKAAN,Soshum,71,1152,1153,74,56
916,916,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222133,JURNALISTIK,76,1459,Tidak Ada,JURNALISTIK,Soshum,56,  ,  ,  ,  
917,917,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222141,MANAJEMEN,71,1055,Tidak Ada,MANAJEMEN,Soshum,51,2760,2702,52,42
918,918,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222187,ILMU POLITIK,51,540,Tidak Ada,ILMU POLITIK,Soshum,36,714,713,39,28
919,919,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222206,KESEJAHTERAAN SOSIAL,54,979,Tidak Ada,KESEJAHTERAAN SOSIAL,Soshum,50,1367,1118,52,28
920,920,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222214,PSIKOLOGI,86,1123,Tidak Ada,PSIKOLOGI,Soshum,83,2597,2127,89,70
921,921,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222431,SOSIOLOGI,55,843,Tidak Ada,SOSIOLOGI,Soshum,37,1083,994,34,28
922,922,JAWA,-6.3065249,106.752308,UNIVERSITAS ISLAM NEGERI JAKARTA,3222454,BAHASA DAN SASTRA INGGRIS,58,811,Tidak Ada,BAHASA DAN SASTRA INGGRIS,Soshum,69,1540,1469,66,56
923,923,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231012,PENDIDIKAN MATEMATIKA,20,404,Tidak Ada,PENDIDIKAN MATEMATIKA,Saintek,20,847,1037,16,32
924,924,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231027,PENDIDIKAN FISIKA,40,394,Tidak Ada,PENDIDIKAN FISIKA,Saintek,41,403,361,32,32
925,925,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231035,PENDIDIKAN KIMIA,40,392,Tidak Ada,PENDIDIKAN KIMIA,Saintek,41,523,527,33,32
926,926,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231043,PENDIDIKAN BIOLOGI,40,710,Tidak Ada,PENDIDIKAN BIOLOGI,Saintek,40,949,890,33,32
927,927,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231051,MATEMATIKA,20,344,Tidak Ada,MATEMATIKA,Saintek,20,755,685,16,16
928,928,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231066,FISIKA,40,575,Tidak Ada,FISIKA,Saintek,40,319,260,16,16
929,929,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231074,KIMIA,40,361,Tidak Ada,KIMIA,Saintek,23,551,452,16,16
930,930,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231082,BIOLOGI,40,551,Tidak Ada,BIOLOGI,Saintek,40,1040,930,34,32
931,931,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231097,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,30,252,Tidak Ada,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,Saintek,30,366,531,16,32
932,932,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231101,PENDIDIKAN VOKASIONAL TEKNIK MESIN,45,312,Tidak Ada,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Saintek,49,600,796,27,48
933,933,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231116,PENDIDIKAN VOKASIONAL KONSTRUKSI  BANGUNAN,42,457,Tidak Ada,PENDIDIKAN VOKASIONAL KONSTRUKSI  BANGUNAN,Saintek,43,470,514,35,32
934,934,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231124,ILMU KEOLAHRAGAAN,30,123,Pendidikan Jasmani dan Olahraga,ILMU KEOLAHRAGAAN,Saintek,30,676,721,13,64
935,935,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231132,PENDIDIKAN INFORMATIKA,40,675,Tidak Ada,PENDIDIKAN INFORMATIKA,Saintek,46,890,1862,39,32
936,936,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231147,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRONIKA,40,368,Tidak Ada,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRONIKA,Saintek,40,280,327,36,32
937,937,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231155,ILMU KOMPUTER,20,835,Tidak Ada,ILMU KOMPUTER,Saintek,21,2373,1496,16,16
938,938,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231163,STATISTIKA,20,474,Tidak Ada,STATISTIKA,Saintek,20,727,854,16,16
939,939,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231171,REKAYASA KESELAMATAN KEBAKARAN,20,385,Tidak Ada,REKAYASA KESELAMATAN KEBAKARAN,Saintek,20,317,  ,17,  
940,940,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231186,TEKNIK MESIN,20,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA
941,941,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3231194,SISTEM DAN TEKNOLOGI INFORMASI,20,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA
942,942,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232015,TEKNOLOGI PENDIDIKAN,40,681,Tidak Ada,TEKNOLOGI PENDIDIKAN,Soshum,41,752,691,33,48
943,943,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232023,PENDIDIKAN KHUSUS,40,671,Tidak Ada,PENDIDIKAN KHUSUS,Soshum,60,545,558,33,48
944,944,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232031,MANAJEMEN PENDIDIKAN,60,654,Tidak Ada,MANAJEMEN PENDIDIKAN,Soshum,41,1060,1178,34,48
945,945,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232046,PENDIDIKAN MASYARAKAT,40,673,Tidak Ada,PENDIDIKAN MASYARAKAT,Soshum,41,742,354,32,48
946,946,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232054,PEND. GURU PAUD,60,480,Tidak Ada,PEND. GURU PAUD,Soshum,42,772,638,32,32
947,947,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232062,BIMBINGAN & KONSELING,40,686,Tidak Ada,BIMBINGAN & KONSELING,Soshum,40,1396,1135,32,32
948,948,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232077,PENDIDIKAN GURU SEKOLAH DASAR,119,1424,Tidak Ada,PENDIDIKAN GURU SEKOLAH DASAR,Soshum,124,2604,2613,66,112
949,949,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232085,PSIKOLOGI,75,1559,Tidak Ada,PSIKOLOGI,Soshum,81,3640,3694,67,124
950,950,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232093,PENDIDIKAN BAHASA INDONESIA,27,405,Tidak Ada,PENDIDIKAN BAHASA INDONESIA,Soshum,25,1039,1077,25,32
951,951,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232104,SASTRA INDONESIA,27,598,Tidak Ada,SASTRA INDONESIA,Soshum,30,938,880,31,32
952,952,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232112,PENDIDIKAN BAHASA INGGRIS,23,463,Tidak Ada,PENDIDIKAN BAHASA INGGRIS,Soshum,26,1342,1461,12,32
953,953,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232127,SASTRA INGGRIS,23,777,Tidak Ada,SASTRA INGGRIS,Soshum,25,2034,1954,20,32
954,954,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232135,PENDIDIKAN BAHASA PRANCIS,23,371,Tidak Ada,PENDIDIKAN BAHASA PRANCIS,Soshum,23,259,324,27,32
955,955,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232143,PENDIDIKAN BAHASA JERMAN,23,451,Tidak Ada,PENDIDIKAN BAHASA JERMAN,Soshum,25,289,345,21,32
956,956,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232151,PENDIDIKAN BAHASA ARAB,45,743,Tidak Ada,PENDIDIKAN BAHASA ARAB,Soshum,63,947,774,55,48
957,957,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232166,PENDIDIKAN BAHASA JEPANG,23,464,Tidak Ada,PENDIDIKAN BAHASA JEPANG,Soshum,25,820,773,16,32
958,958,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232174,PENDIDIKAN TARI,27,54,Tari,PENDIDIKAN TARI,Soshum,25,210,235,27,24
959,959,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232182,PENDIDIKAN MUSIK,23,119,Musik,PENDIDIKAN MUSIK,Soshum,26,432,452,35,24
960,960,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232197,PENDIDIKAN SENI RUPA,32,104,"Seni Rupa, Desain, dan Kriya",PENDIDIKAN SENI RUPA,Soshum,30,424,460,31,24
961,961,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232201,PENDIDIKAN PANCASILA & KEWARGANEGARAAN,40,480,Tidak Ada,PENDIDIKAN PANCASILA & KEWARGANEGARAAN,Soshum,41,755,594,50,53
962,962,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232216,PENDIDIKAN GEOGRAFI,40,624,Tidak Ada,PENDIDIKAN GEOGRAFI,Soshum,41,901,744,33,36
963,963,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232224,PENDIDIKAN SEJARAH,40,746,Tidak Ada,PENDIDIKAN SEJARAH,Soshum,40,667,750,32,53
964,964,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232232,PENDIDIKAN AGAMA ISLAM,40,805,Tidak Ada,PENDIDIKAN AGAMA ISLAM,Soshum,44,1627,1168,37,36
965,965,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232247,SOSIOLOGI,36,1029,Tidak Ada,SOSIOLOGI,Soshum,40,1387,1415,33,36
966,966,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232255,PENDIDIKAN SOSIOLOGI,40,681,Tidak Ada,PENDIDIKAN SOSIOLOGI,Soshum,41,923,997,32,36
967,967,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232263,PENDIDIKAN VOKASIONAL KESEJAHTERAAN KELUARGA,40,698,Tidak Ada,PENDIDIKAN VOKASIONAL KESEJAHTERAAN KELUARGA,Soshum,40,432,376,24,32
968,968,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232271,PENDIDIKAN JASMANI,40,167,Pendidikan Jasmani dan Olahraga,PENDIDIKAN JASMANI,Soshum,41,872,1138,33,88
969,969,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232286,PENDIDIKAN KEPELATIHAN  OLAHRAGA,20,144,Pendidikan Jasmani dan Olahraga,PENDIDIKAN KEPELATIHAN  OLAHRAGA,Soshum,40,786,1008,26,88
970,970,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232294,PENDIDIKAN EKONOMI,60,957,Tidak Ada,PENDIDIKAN EKONOMI,Soshum,62,981,1020,53,71
971,971,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232305,MANAJEMEN,36,1482,Tidak Ada,MANAJEMEN,Soshum,37,4584,5031,29,44
972,972,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232313,AKUNTANSI,36,882,Tidak Ada,AKUNTANSI,Soshum,37,3075,3438,30,44
973,973,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232321,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,40,639,Tidak Ada,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,Soshum,40,793,750,33,36
974,974,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232336,PENDIDIKAN VOKASIONAL SENI KULINER,30,882,Tidak Ada,PENDIDIKAN VOKASIONAL SENI KULINER,Soshum,43,1399,1646,25,32
975,975,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232344,PENDIDIKAN VOKASIONAL DESAIN FASHION,30,539,Tidak Ada,PENDIDIKAN VOKASIONAL DESAIN FASHION,Soshum,30,875,824,16,32
976,976,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232352,PENDIDIKAN VOKASIONAL TATA RIAS,30,741,Tidak Ada,PENDIDIKAN VOKASIONAL TATA RIAS,Soshum,31,1098,884,18,16
977,977,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232367,PENDIDIKAN BISNIS,40,663,Tidak Ada,PENDIDIKAN BISNIS,Soshum,41,1215,571,40,36
978,978,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232375,PENDIDIKAN BAHASA MANDARIN,14,201,Tidak Ada,PENDIDIKAN BAHASA MANDARIN,Soshum,13,166,203,10,16
979,979,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232383,PENDIDIKAN ADMINISTRASI PERKANTORAN,40,700,Tidak Ada,PENDIDIKAN ADMINISTRASI PERKANTORAN,Soshum,42,1320,1932,36,36
980,980,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232391,OLAHRAGA REKREASI,40,53,Pendidikan Jasmani dan Olahraga,OLAHRAGA REKREASI,Soshum,22,325,  ,19,  
981,981,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232402,KEPELATIHAN KECABANGAN OLAHRAGA,40,85,Pendidikan Jasmani dan Olahraga,KEPELATIHAN KECABANGAN OLAHRAGA,Soshum,31,500,  ,21,  
982,982,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232417,ILMU KOMUNIKASI,36,1545,Tidak Ada,ILMU KOMUNIKASI,Soshum,42,5032,  ,16,  
983,983,JAWA,-6.1950158,106.8760031,UNIVERSITAS NEGERI JAKARTA,3232425,GEOGRAFI,28,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA
984,984,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241014,TEKNIK MESIN,54,526,Tidak Ada,TEKNIK MESIN,Saintek,54,1032,1051,41,38
985,985,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241022,TEKNIK PERKAPALAN,37,432,Tidak Ada,TEKNIK PERKAPALAN,Saintek,36,594,435,24,19
986,986,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241037,TEKNIK INDUSTRI,54,728,Tidak Ada,TEKNIK INDUSTRI,Saintek,53,1474,1234,41,38
987,987,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241045,INFORMATIKA,78,1015,Tidak Ada,INFORMATIKA,Saintek,77,2154,1856,64,46
988,988,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241053,SISTEM INFORMASI,76,1135,Tidak Ada,SISTEM INFORMASI,Saintek,77,1580,1219,56,46
989,989,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241061,KEDOKTERAN,75,1366,Tidak Ada,KEDOKTERAN,Saintek,75,3337,3053,60,64
990,990,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241076,KEPERAWATAN,62,748,Tidak Ada,KEPERAWATAN,Saintek,41,1496,1445,48,74
991,991,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241084,KESEHATAN MASYARAKAT,84,1354,Tidak Ada,KESEHATAN MASYARAKAT,Saintek,72,2711,2327,71,80
992,992,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241092,GIZI,56,952,Tidak Ada,GIZI,Saintek,53,1814,1524,46,54
993,993,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241103,TEKNIK ELEKTRO,35,404,Tidak Ada,TEKNIK ELEKTRO,Saintek,20,  ,  ,  ,  
994,994,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3241111,FARMASI,30,830,Tidak Ada,FARMASI,Saintek,15,  ,  ,  ,  
995,995,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3242017,MANAJEMEN,133,2503,Tidak Ada,MANAJEMEN,Soshum,143,3978,4030,126,140
996,996,JAWA,-6.3156988,106.7923874,UPN VETERAN JAKARTA,3242025,AKUNTANSI,112,1599,Tidak Ada,AKUNTANSI,Soshum,124,2412,2567,98,126
