"","kode_ptn","Nama.PT","No.","Kode.PT","Kualitas.SDM","Kualitas.Manajemen","Kualitas.Keg.Mahasiswa","Kualitas.Penelitian...Publikasi","Skor.Total","Peringkat","Cluster"
"67",621,"UNIVERSITAS MATARAM",36,1016,3.47,3,0.1,1.2,2.314,36,2
"68",631,"UNIVERSITAS NUSA CENDANA",82,1014,2.87,2.3,0,1.2,1.905,82,3
"69",632,"UNIVERSITAS TIMOR",2173,1060,1.28,0,0,0,0.385,2173,4
"70",711,"UNIVERSITAS HASANUDDIN",11,1005,3.59,3.8,0,2.6,2.978,11,1
"71",712,"UNIVERSITAS NEGERI MAKASSAR",31,1036,3.79,3.2,0,0.8,2.345,31,2
"72",713,"UNIVERSITAS ISLAM NEGERI ALAUDDIN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",721,"UNIVERSITAS SAM RATULANGI",70,1012,3,3.1,0,0.4,1.957,70,3
"74",722,"UNIVERSITAS NEGERI MANADO",452,1035,2.21,1.5,0,0.5,1.242,452,3
"75",731,"UNIVERSITAS TADULAKO",35,1028,3.67,2.9,0.1,1.1,2.318,35,2
"76",741,"UNIVERSITAS SULAWESI BARAT",1966,1054,1.31,0,0,0.2,0.445,1966,4
"77",751,"UNIVERSITAS HALUOLEO",69,1029,3.53,2.2,0,0.7,1.958,69,3
"78",752,"UNIVERSITAS NEGERI GORONTALO",108,1047,3.42,1.1,0,1.1,1.693,108,3
"79",753,"UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA",2544,1055,0.82,0,0,0.2,0.319,2544,4
"80",811,"UNIVERSITAS PATTIMURA",282,1021,2.72,1.6,0,0.5,1.435,282,3
"81",821,"UNIVERSITAS KHAIRUN",198,1044,2.38,2.1,0,0.6,1.524,198,3
"82",911,"UNIVERSITAS CENDERAWASIH",412,1018,2.82,1,0,0.5,1.287,412,3
"83",912,"UNIVERSITAS MUSAMUS MERAUKE",408,1051,1.83,2,0,0.5,1.291,408,3
"84",913,"ISBI TANAH PAPUA",3100,2012,0,0,0,0,0,3100,5
"85",921,"UNIVERSITAS PAPUA",503,1045,2.25,1,0,0.7,1.183,503,3
