,REGION,LAT,LONG,NAMA_UNIV,KODE,PROGRAM_STUDI,DAYA_TAMPUNG__2020,PEMINAT__2019,JENIS_PORTOFOLIO,DAYA_TAMPUNG__2019,PEMINAT__2018,PEMINAT__2017,PEMINAT__2016,DAYA_TAMPUNG__2018,DAYA_TAMPUNG__2017,DAYA_TAMPUNG__2016,REGIOn,AKREDITASI_PT,PEMINAT__2020,,,
30,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111293,TEKNIK PERTAMBANGAN,40,359,Tidak Ada,24,731,662,636,27,24,21,SUMATERA,A ,407,1111293,0,0
31,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111304,STATISTIKA,50,566,Tidak Ada,24,386,350,331,20,20,14,SUMATERA,A ,594,1111304,0,0
32,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111312,PEMANFAATAN SUMBERDAYA PERIKANAN,89,218,Tidak Ada,78,242,217,238,69,30,25,SUMATERA,A ,220,1111312,0,0
33,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111327,ILMU TANAH,40,245,Tidak Ada,34,334,263,278,38,32,35,SUMATERA,A ,273,1111327,0,0
34,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111335,TEKNIK GEOLOGI,40,211,Tidak Ada,25,153,145,182,19,16,14,SUMATERA,A ,197,1111335,0,0
35,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111343,AGROTEKNOLOGI (PSDKU GAYO LUES),24,42,Tidak Ada,25,69,102,115,31,24,27,SUMATERA,A ,19,1111343,0,0
36,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111351,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),20,35,Tidak Ada,25,25,32,52,17,24,33,SUMATERA,A ,22,1111351,0,0
37,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111366,KEHUTANAN (PSDKU GAYO LUES),24,38,Tidak Ada,19,95,122,122,28,24,21,SUMATERA,A ,25,1111366,0,0
38,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111374,PROTEKSI TANAMAN,40,139,Tidak Ada,35,192,131,152,25,20,14,SUMATERA,A ,159,1111374,0,0
39,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111382,PERENCANAAN WILAYAH DAN KOTA,30,424,Tidak Ada,24,551,633,781,20,16,14,SUMATERA,A ,309,1111382,0,0
40,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111397,KEHUTANAN,40,224,Tidak Ada,37,246,193,216,26,20,14,SUMATERA,A ,239,1111397,0,0
41,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1111401,TEKNIK KOMPUTER,50,580,Tidak Ada,42,1385,1144,1189,36,16,14,SUMATERA,A ,678,1111401,0,0
42,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112017,EKONOMI PEMBANGUNAN,79,613,Tidak Ada,80,885,960,1098,53,32,28,SUMATERA,A ,507,1112017,0,0
43,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112025,MANAJEMEN,99,938,Tidak Ada,66,2314,2468,2452,49,36,32,SUMATERA,A ,869,1112025,0,0
44,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112033,AKUNTANSI,79,590,Tidak Ada,66,1483,1767,1921,49,36,32,SUMATERA,A ,371,1112033,0,0
45,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112041,ILMU HUKUM,198,1114,Tidak Ada,178,2200,2083,2048,176,140,133,SUMATERA,A ,1190,1112041,0,0
46,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112056,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,50,210,Tidak Ada,37,301,308,328,31,28,25,SUMATERA,A ,197,1112056,0,0
47,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112064,PENDIDIKAN SEJARAH,50,283,Tidak Ada,38,325,310,406,31,28,25,SUMATERA,A ,243,1112064,0,0
48,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112072,PENDIDIKAN EKONOMI,50,258,Tidak Ada,42,262,335,345,32,28,28,SUMATERA,A ,217,1112072,0,0
49,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112087,PENDIDIKAN GEOGRAFI,50,252,Tidak Ada,38,368,372,572,31,28,25,SUMATERA,A ,150,1112087,0,0
50,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112095,PENDIDIKAN BAHASA INDONESIA,44,234,Tidak Ada,38,619,672,790,35,36,28,SUMATERA,A ,149,1112095,0,0
51,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112106,PENDIDIKAN BAHASA INGGRIS,59,339,Tidak Ada,49,871,917,851,45,36,28,SUMATERA,A ,349,1112106,0,0
52,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112114,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,59,40,Sendratasik,61,312,334,276,28,20,13,SUMATERA,A ,58,1112114,0,0
53,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112122,PENDIDIKAN KESEJAHTERAAN KELUARGA,50,351,Tidak Ada,43,546,432,354,32,28,25,SUMATERA,A ,447,1112122,0,0
54,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112137,PEND. JASMANI KESEHATAN DAN REKREASI,59,57,Pendidikan Jasmani dan Olahraga,72,633,700,675,59,48,57,SUMATERA,A ,36,1112137,0,0
55,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112145,BIMBINGAN KONSELING,50,315,Tidak Ada,46,612,516,558,32,28,25,SUMATERA,A ,342,1112145,0,0
56,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112153,PENDIDIKAN GURU SEKOLAH DASAR,59,502,Tidak Ada,52,845,791,818,38,48,42,SUMATERA,A ,516,1112153,0,0
57,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112161,PSIKOLOGI,50,394,Tidak Ada,35,972,814,784,21,20,21,SUMATERA,A ,488,1112161,0,0
58,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112176,ILMU POLITIK,69,335,Tidak Ada,56,548,543,451,61,32,28,SUMATERA,A ,384,1112176,0,0
59,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112184,SOSIOLOGI,69,399,Tidak Ada,51,390,407,432,60,32,28,SUMATERA,A ,378,1112184,0,0
60,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112192,ILMU KOMUNIKASI,69,595,Tidak Ada,50,1063,943,830,55,32,28,SUMATERA,A ,712,1112192,0,0
61,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112203,PENDIDIKAN GURU PAUD,50,241,Tidak Ada,40,564,465,503,33,28,25,SUMATERA,A ,272,1112203,0,0
62,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112211,ILMU PEMERINTAHAN,69,408,Tidak Ada,57,640,576,607,55,32,21,SUMATERA,A ,425,1112211,0,0
63,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112226,EKONOMI ISLAM,69,407,Tidak Ada,49,1107,1007,852,33,32,28,SUMATERA,A ,535,1112226,0,0
64,SUMATERA,5.573437,95.3591164,UNIVERSITAS SYIAH KUALA,1112234,MANAJEMEN (PSDKU GAYO LUES),44,54,Tidak Ada,45,72,69,85,29,24,24,SUMATERA,A ,48,1112234,0,0
65,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121016,TEKNIK SIPIL,163,341,Tidak Ada,124,724,641,486,135,120,150,SUMATERA,B,460,1121016,0,0
66,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121024,TEKNIK MESIN,164,206,Tidak Ada,149,370,327,228,138,120,120,SUMATERA,B,277,1121024,0,0
67,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121032,TEKNIK KIMIA,149,245,Tidak Ada,124,303,256,139,159,144,100,SUMATERA,B,327,1121032,0,0
68,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121047,TEKNIK ELEKTRO,117,261,Tidak Ada,105,416,333,275,134,90,120,SUMATERA,B,332,1121047,0,0
69,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121055,TEKNIK INDUSTRI,139,326,Tidak Ada,105,542,493,299,122,120,120,SUMATERA,B,448,1121055,0,0
70,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121063,TEKNIK INFORMATIKA,138,558,Tidak Ada,94,1331,1090,822,127,80,100,SUMATERA,B,813,1121063,0,0
71,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121071,TEKNIK ARSITEKTUR,108,166,Tidak Ada,84,311,276,185,97,100,60,SUMATERA,B,229,1121071,0,0
72,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121086,AGROEKOTEKNOLOGI,132,302,Tidak Ada,95,515,491,475,132,100,120,SUMATERA,B,322,1121086,0,0
73,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121094,AGRIBISNIS,68,364,Tidak Ada,74,780,738,598,70,60,100,SUMATERA,B,455,1121094,0,0
74,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121105,AKUAKULTUR,47,90,Tidak Ada,61,254,240,236,75,79,80,SUMATERA,B,99,1121105,0,0
75,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121113,KEDOKTERAN,36,932,Tidak Ada,32,1243,1117,1042,32,25,16,SUMATERA,B,1033,1121113,0,0
76,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121121,PENDIDIKAN FISIKA,59,122,Tidak Ada,67,79,108,85,56,40,50,SUMATERA,B,119,1121121,0,0
77,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121136,PENDIDIKAN KIMIA,64,109,Tidak Ada,46,76,100,101,53,48,50,SUMATERA,B,97,1121136,0,0
78,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121144,PENDIDIKAN MATEMATIKA,68,114,Tidak Ada,40,159,176,167,45,40,50,SUMATERA,B,110,1121144,0,0
79,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121152,PENDIDIKAN VOKASIONAL TEKNIK MESIN,27,25,Tidak Ada,49,102,92,86,55,55,50,SUMATERA,B,33,1121152,0,0
80,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121167,SISTEM INFORMASI,105,393,Tidak Ada,69,391,273,219,78,60,50,SUMATERA,B,479,1121167,0,0
81,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121175,ILMU KELAUTAN,36,83,Tidak Ada,55,161,167,NA,58,63,NA,SUMATERA,B,,1121175,0,0
